epoch,acc,loss,val_acc,val_loss
0,0.678,0.5978263586759567,0.787,0.451134660243988
1,0.7905,0.4761944779753685,0.838,0.3632329341769218
2,0.8385,0.4003240202367306,0.868,0.30497504889965055
3,0.863,0.3463519150018692,0.884,0.27423342049121857
4,0.8815,0.30720300182700155,0.907,0.23568939477205275
5,0.8975,0.27824398279190066,0.913,0.22197653368115425
6,0.904,0.2608131302893162,0.917,0.21083333775401114
7,0.8975,0.25879980236291883,0.917,0.20006964273750782
8,0.903,0.24712171360850335,0.922,0.19057080298662185
9,0.9155,0.22628474794328213,0.929,0.17448608607053756
0,0.9215,0.21361833482980727,0.928,0.1717680271714926
1,0.92,0.20928101055324078,0.943,0.15240042395889758
2,0.927,0.20327335365116597,0.933,0.15781876780092716
3,0.931,0.1914437445998192,0.937,0.16291318632662297
0,0.6135,0.6845356100797653,0.785,0.49137023985385897
1,0.7585,0.5055178263783455,0.872,0.3596283692121506
2,0.8515,0.40296212434768675,0.899,0.28286848336458204
3,0.876,0.3360591225326061,0.909,0.24720234662294388
4,0.878,0.3052410377562046,0.919,0.2202403737604618
5,0.905,0.2683769091963768,0.92,0.20602815568447114
6,0.903,0.2590239229798317,0.932,0.18568523243069648
7,0.9135,0.24397904202342033,0.93,0.1861131964623928
8,0.9045,0.23618546672165394,0.933,0.17738713920116425
9,0.91,0.23033752009272576,0.932,0.17077107049524784
10,0.9075,0.23477647408843041,0.927,0.16991998873651026
11,0.9215,0.21093646578490735,0.942,0.16043106734752655
12,0.9105,0.2123510267585516,0.944,0.15613174572587013
13,0.929,0.1891678410768509,0.944,0.1526610252261162
14,0.921,0.1963552102446556,0.948,0.14780848413705827
15,0.9265,0.1898610170930624,0.952,0.14459044121205808
16,0.9365,0.17392910983413457,0.951,0.14383935675024986
17,0.9365,0.17159219272434711,0.952,0.14006324417889118
18,0.9265,0.17999403040856124,0.956,0.1367416988313198
19,0.9295,0.1819926080852747,0.959,0.13511911109089852
20,0.943,0.1567364115267992,0.959,0.1313672359287739
21,0.9375,0.16361437253654004,0.958,0.13148842744529246
22,0.9345,0.1680475414916873,0.958,0.12905582938343285
23,0.946,0.1524498226866126,0.956,0.126751459389925
0,0.9505,0.14904478192329407,0.958,0.1253523226827383
1,0.939,0.15856925077736378,0.96,0.12422924108803272
0,0.943,0.1625356125831604,0.957,0.122801982909441
1,0.9425,0.14543888080865144,0.96,0.1215634511038661
2,0.94,0.15791879147291182,0.961,0.12052330069243908
3,0.9395,0.16275911953300237,0.961,0.12006407704204321
4,0.938,0.14680477760732175,0.962,0.11878822267055511
5,0.935,0.15205909895710648,0.96,0.11820664815604687
0,0.6855,0.5928979140520095,0.852,0.4295067125558853
1,0.8145,0.45902603179216384,0.895,0.3194868203997612
2,0.8495,0.3777182847261429,0.912,0.262488801330328
3,0.872,0.34070459082722665,0.915,0.23370611786842346
4,0.899,0.29295248046517375,0.922,0.20678510278463363
5,0.904,0.27429156795144083,0.927,0.19090698301792144
6,0.906,0.2542730970680714,0.925,0.18463266253471375
7,0.9165,0.24030142404139043,0.933,0.17208486035466194
8,0.9225,0.2268039394915104,0.933,0.16766181111335754
9,0.917,0.22486353762447833,0.934,0.16685925111174582
10,0.93,0.20030416801571846,0.94,0.1570449261367321
11,0.931,0.19606995023787022,0.941,0.15384859651327132
12,0.9325,0.19284060500562192,0.945,0.1472829617187381
13,0.933,0.18967387780547143,0.947,0.14285908229649066
14,0.936,0.17330099161714316,0.947,0.14099267575889826
15,0.944,0.16772146843373775,0.949,0.1389292689412832
16,0.93,0.18094256576150655,0.948,0.13892788290977479
17,0.937,0.17787833131849765,0.95,0.13426244609057902
18,0.9405,0.1675272335857153,0.949,0.13285893630236387
19,0.935,0.16007997073233127,0.948,0.1322769144922495
20,0.951,0.1469668696448207,0.952,0.12778494119644165
21,0.949,0.1597873942926526,0.951,0.12737733643501997
22,0.935,0.16994991067796947,0.954,0.12587020985782146
23,0.9425,0.15250809531658888,0.952,0.12515417471528054
0,0.531,0.7481954610347747,0.626,0.6404696756601334
1,0.722,0.5630524978041649,0.843,0.431328227519989
0,0.684,0.604069085419178,0.797,0.4749969416856766
1,0.799,0.4622021523118019,0.861,0.35960060626268386
2,0.851,0.384777896553278,0.893,0.29806471318006517
3,0.8755,0.33590596199035644,0.91,0.24460324496030808
4,0.8885,0.3016244439780712,0.919,0.22557047843933106
5,0.8945,0.28053419962525367,0.918,0.21608152262866498
6,0.9095,0.25741617023944857,0.926,0.1949706483632326
7,0.9005,0.2538216644525528,0.925,0.19150343880057336
8,0.9155,0.224875990152359,0.922,0.19103552296757698
9,0.916,0.22979010835289956,0.934,0.16726048961281775
10,0.917,0.21420191034674643,0.935,0.1636479213088751
11,0.9225,0.20896501280367374,0.94,0.15652516327798366
12,0.9185,0.21114025935530661,0.945,0.1510143005847931
13,0.9235,0.2043335284292698,0.948,0.1462071394920349
14,0.928,0.1875815938785672,0.943,0.14943697318434715
15,0.9275,0.18819998912513256,0.951,0.13876869417726995
16,0.939,0.18035231605172158,0.951,0.1403436378389597
17,0.9345,0.1728680081665516,0.955,0.13557624466717244
18,0.929,0.18330516710877418,0.959,0.1310906308144331
19,0.9235,0.18302861217409372,0.959,0.13237040877342224
20,0.9375,0.1637562173232436,0.96,0.12702745631337165
21,0.942,0.16204386088997125,0.963,0.1262888700515032
22,0.9395,0.1635807517170906,0.965,0.12615893736481668
